Depth,Sample ID,Time Retrieved,Frequency,Pre,Post,Change (Pre-Post),Perc.LossN,Perc.Change
NA,1,0,100,0,NA,NA,,NA
NA,1,0,120,95,NA,NA,,NA
NA,1,0,1k,115.66667,NA,NA,,NA
NA,1,0,10k,5.573333333,NA,NA,,NA
NA,1,0,100k,0.21,NA,NA,,NA
NA,2,0,100,0,0,0,100,NA
NA,2,0,120,0,0,0,100,NA
NA,2,0,1k,31.33333333,30.33333333,1,3.191489362,-3.191489362
NA,2,0,10k,2.2,1.646666667,0.553333333,25.15151515,-25.15151515
NA,2,0,100k,0.26,0.156333333,0.103666667,39.87179487,-39.87179487
NA,3,0,100,0,0,0,0,NA
NA,3,0,120,0,0,0,0,NA
NA,3,0,1k,36.73333333,27.66666667,9.066666667,24.68239564,-24.68239564
NA,3,0,10k,2.286666667,1.186666667,1.1,48.10495627,-48.10495627
NA,3,0,100k,0.193333333,0.14,0.053333333,27.5862069,-27.5862069
NA,4,0,100,6.666666667,NA,NA,,NA
NA,4,0,120,5.866666667,NA,NA,,NA
NA,4,0,1k,4.633333333,NA,NA,,NA
NA,4,0,10k,4.633333333,NA,NA,,NA
NA,4,0,100k,0.716666667,NA,NA,,NA
NA,5,0,100,20.6,0,NA,,NA
NA,5,0,120,21.06666667,0,NA,,NA
NA,5,0,1k,25.8,32.33333333,-6.533333333,-25.32299742,25.32299742
NA,5,0,10k,4.91,1.646666667,3.263333333,66.46300068,-66.46300068
NA,5,0,100k,0.247,0.156333333,0.090666667,36.7071525,-36.7071525
NA,6,0,100,41.66666667,NA,NA,,NA
NA,6,0,120,40.03333333,NA,NA,,NA
NA,6,0,1k,87.93333333,NA,NA,,NA
NA,6,0,10k,4.55,NA,NA,,NA
NA,6,0,100k,0.523333333,NA,NA,,NA
NA,7,0,100,0,0,,,NA
NA,7,0,120,0,0,,,NA
NA,7,0,1k,36.43333333,28.13333333,8.3,22.78133577,-22.78133577
NA,7,0,10k,2.186666667,1.6,0.586666667,26.82926829,-26.82926829
NA,7,0,100k,0.287333333,0.169333333,0.118,41.06728538,-41.06728538
NA,8,0,100,0.49,NA,NA,,NA
NA,8,0,120,0.41,NA,NA,,NA
NA,8,0,1k,0.338333333,NA,NA,,NA
NA,8,0,10k,0.19,NA,NA,,NA
NA,8,0,100k,0.19,NA,NA,,NA
NA,P,0,100,0,NA,NA,,NA
NA,P,0,120,0,NA,NA,,NA
NA,P,0,1k,19.7,NA,NA,,NA
NA,P,0,10k,1.35,NA,NA,,NA
NA,P,0,100k,0.12,NA,NA,,NA
NA,N,0,100,0,0,0,0,NA
NA,N,0,120,0,0,0,0,NA
NA,N,0,1k,29.8,29,0.8,2.684563758,-2.684563758
NA,N,0,10k,1.84,1.793333333,0.046666667,2.536231884,-2.536231884
NA,N,0,100k,0.188,0.164666667,0.023333333,12.41134752,-12.41134752
0,1,4,100,NA,NA,NA,,NA
0,1,4,120,NA,NA,NA,,NA
0,1,4,1k,NA,NA,NA,,NA
0,1,4,10k,NA,NA,NA,,NA
0,1,4,100k,NA,NA,NA,,NA
0,2,4,100,0,0,0,0,NA
0,2,4,120,0,0,0,0,NA
0,2,4,1k,90,41.96666667,48.03333333,53.37037037,-53.37037037
0,2,4,10k,1.737666667,2.723333333,-0.985666667,-56.72357568,56.72357568
0,2,4,100k,0.962,0.160666667,0.801333333,83.2986833,-83.2986833
0,3,4,100,NA,NA,NA,,NA
0,3,4,120,NA,NA,NA,,NA
0,3,4,1k,NA,NA,NA,,NA
0,3,4,10k,NA,NA,NA,,NA
0,3,4,100k,NA,NA,NA,,NA
0,4,4,100,NA,NA,NA,,NA
0,4,4,120,NA,NA,NA,,NA
0,4,4,1k,NA,NA,NA,,NA
0,4,4,10k,NA,NA,NA,,NA
0,4,4,100k,NA,NA,NA,,NA
0,5,4,100,NA,NA,NA,,NA
0,5,4,120,NA,NA,NA,,NA
0,5,4,1k,NA,NA,NA,,NA
0,5,4,10k,NA,NA,NA,,NA
0,5,4,100k,NA,NA,NA,,NA
0,6,4,100,NA,NA,NA,,NA
0,6,4,120,NA,NA,NA,,NA
0,6,4,1k,NA,NA,NA,,NA
0,6,4,10k,NA,NA,NA,,NA
0,6,4,100k,NA,NA,NA,,NA
0,7,4,100,3.7,0,3.7,100,NA
0,7,4,120,3.05,0,3.05,100,NA
0,7,4,1k,30.6,37.6,-7,-22.87581699,22.87581699
0,7,4,10k,3.46,1.92,1.54,44.50867052,-44.50867052
0,7,4,100k,0.57,0.184,0.386,67.71929825,-67.71929825
0,8,4,100,NA,NA,NA,,NA
0,8,4,120,NA,NA,NA,,NA
0,8,4,1k,NA,NA,NA,,NA
0,8,4,10k,NA,NA,NA,,NA
0,8,4,100k,NA,NA,NA,,NA
0,P,4,100,NA,NA,NA,,NA
0,P,4,120,NA,NA,NA,,NA
0,P,4,1k,NA,NA,NA,,NA
0,P,4,10k,NA,NA,NA,,NA
0,P,4,100k,NA,NA,NA,,NA
0,N,4,100,0,0,0,0,NA
0,N,4,120,0,0,0,0,NA
0,N,4,1k,51.05,50.85,0.2,0.391772772,-0.391772772
0,N,4,10k,2.45,2.39,0.06,2.448979592,-2.448979592
0,N,4,100k,0.244,0.2445,-0.0005,-0.204918033,0.204918033
10,1,4,100,NA,NA,NA,,NA
10,1,4,120,NA,NA,NA,,NA
10,1,4,1k,NA,NA,NA,,NA
10,1,4,10k,NA,NA,NA,,NA
10,1,4,100k,NA,NA,NA,,NA
10,2,4,100,0,0,0,0,NA
10,2,4,120,0,0,0,0,NA
10,2,4,1k,51.36666667,29.33333333,22.03333333,42.89422453,-42.89422453
10,2,4,10k,0.779666667,1.693333333,-0.913666667,-117.186832,117.186832
10,2,4,100k,0.048666667,0.059333333,-0.010666667,-21.91780822,21.91780822
10,3,4,100,NA,NA,NA,,NA
10,3,4,120,NA,NA,NA,,NA
10,3,4,1k,NA,NA,NA,,NA
10,3,4,10k,NA,NA,NA,,NA
10,3,4,100k,NA,NA,NA,,NA
10,4,4,100,NA,NA,NA,,NA
10,4,4,120,NA,NA,NA,,NA
10,4,4,1k,NA,NA,NA,,NA
10,4,4,10k,NA,NA,NA,,NA
10,4,4,100k,NA,NA,NA,,NA
10,5,4,100,NA,NA,NA,,NA
10,5,4,120,NA,NA,NA,,NA
10,5,4,1k,NA,NA,NA,,NA
10,5,4,10k,NA,NA,NA,,NA
10,5,4,100k,NA,NA,NA,,NA
10,6,4,100,NA,NA,NA,,NA
10,6,4,120,NA,NA,NA,,NA
10,6,4,1k,NA,NA,NA,,NA
10,6,4,10k,NA,NA,NA,,NA
10,6,4,100k,NA,NA,NA,,NA
10,7,4,100,0,NA,NA,,NA
10,7,4,120,0,NA,NA,,NA
10,7,4,1k,66.5,NA,NA,,NA
10,7,4,10k,5.63,Na,NA,,NA
10,7,4,100k,0.381,NA,NA,,NA
10,8,4,100,NA,NA,NA,,NA
10,8,4,120,NA,NA,NA,,NA
10,8,4,1k,NA,NA,NA,,NA
10,8,4,10k,NA,NA,NA,,NA
10,8,4,100k,NA,NA,NA,,NA
10,P,4,100,NA,NA,NA,,NA
10,P,4,120,NA,NA,NA,,NA
10,P,4,1k,NA,NA,NA,,NA
10,P,4,10k,NA,NA,NA,,NA
10,P,4,100k,NA,NA,NA,,NA
10,N,4,100,0,0,0,0,NA
10,N,4,120,0,0,0,0,NA
10,N,4,1k,28.73333333,22.2,6.533333333,22.73781903,-22.73781903
10,N,4,10k,1.37,1.316666667,0.053333333,3.892944039,-3.892944039
10,N,4,100k,0.135333333,0.132333333,0.003,2.216748768,-2.216748768
0,1,8,100,NA,NA,NA,,NA
0,1,8,120,NA,NA,NA,,NA
0,1,8,1k,NA,NA,NA,,NA
0,1,8,10k,NA,NA,NA,,NA
0,1,8,100k,NA,NA,NA,,NA
0,2,8,100,0,0,0,0,NA
0,2,8,120,0,0,0,0,NA
0,2,8,1k,28.9,21.2,7.7,26.64359862,-26.64359862
0,2,8,10k,1.58,1.165,0.415,26.26582278,-26.26582278
0,2,8,100k,0.124,0.1045,0.0195,15.72580645,-15.72580645
0,3,8,100,NA,NA,NA,,NA
0,3,8,120,NA,NA,NA,,NA
0,3,8,1k,NA,NA,NA,,NA
0,3,8,10k,NA,NA,NA,,NA
0,3,8,100k,NA,NA,NA,,NA
0,4,8,100,NA,NA,NA,,NA
0,4,8,120,NA,NA,NA,,NA
0,4,8,1k,NA,NA,NA,,NA
0,4,8,10k,NA,NA,NA,,NA
0,4,8,100k,NA,NA,NA,,NA
0,5,8,100,NA,NA,NA,,NA
0,5,8,120,NA,NA,NA,,NA
0,5,8,1k,NA,NA,NA,,NA
0,5,8,10k,NA,NA,NA,,NA
0,5,8,100k,NA,NA,NA,,NA
0,6,8,100,NA,NA,NA,,NA
0,6,8,120,NA,NA,NA,,NA
0,6,8,1k,NA,NA,NA,,NA
0,6,8,10k,NA,NA,NA,,NA
0,6,8,100k,NA,NA,NA,,NA
0,7,8,100,NA,NA,NA,,NA
0,7,8,120,NA,NA,NA,,NA
0,7,8,1k,NA,NA,NA,,NA
0,7,8,10k,NA,NA,NA,,NA
0,7,8,100k,NA,NA,NA,,NA
0,8,8,100,NA,NA,NA,,NA
0,8,8,120,NA,NA,NA,,NA
0,8,8,1k,NA,NA,NA,,NA
0,8,8,10k,NA,NA,NA,,NA
0,8,8,100k,NA,NA,NA,,NA
0,P,8,100,NA,NA,NA,,NA
0,P,8,120,NA,NA,NA,,NA
0,P,8,1k,NA,NA,NA,,NA
0,P,8,10k,NA,NA,NA,,NA
0,P,8,100k,NA,NA,NA,,NA
0,N,8,100,0,0,0,0,NA
0,N,8,120,0,0,0,0,NA
0,N,8,1k,25.86666667,17.4,8.466666667,32.73195876,-32.73195876
0,N,8,10k,1.34,0.81,0.53,39.55223881,-39.55223881
0,N,8,100k,0.137,0.115,0.022,16.05839416,-16.05839416
10,1,8,100,NA,NA,NA,NA,NA
10,1,8,120,NA,NA,NA,NA,NA
10,1,8,1k,NA,NA,NA,NA,NA
10,1,8,10k,NA,NA,NA,NA,NA
10,1,8,100k,NA,NA,NA,NA,NA
10,2,8,100,0,0,0,0,NA
10,2,8,120,0,0,0,0,NA
10,2,8,1k,19.9,17.66666667,2.233333333,11.22278057,-11.22278057
10,2,8,10k,0.983333333,0.873333333,0.11,11.18644068,-11.18644068
10,2,8,100k,0.114333333,0.092,0.022333333,19.5335277,-19.5335277
10,3,8,100,NA,NA,NA,NA,NA
10,3,8,120,NA,NA,NA,NA,NA
10,3,8,1k,NA,NA,NA,NA,NA
10,3,8,10k,NA,NA,NA,NA,NA
10,3,8,100k,NA,NA,NA,NA,NA
10,4,8,100,NA,NA,NA,NA,NA
10,4,8,120,NA,NA,NA,NA,NA
10,4,8,1k,NA,NA,NA,NA,NA
10,4,8,10k,NA,NA,NA,NA,NA
10,4,8,100k,NA,NA,NA,NA,NA
10,5,8,100,NA,NA,NA,NA,NA
10,5,8,120,NA,NA,NA,NA,NA
10,5,8,1k,NA,NA,NA,NA,NA
10,5,8,10k,NA,NA,NA,NA,NA
10,5,8,100k,NA,NA,NA,NA,NA
10,6,8,100,NA,NA,NA,NA,NA
10,6,8,120,NA,NA,NA,NA,NA
10,6,8,1k,NA,NA,NA,NA,NA
10,6,8,10k,NA,NA,NA,NA,NA
10,6,8,100k,NA,NA,NA,NA,NA
10,7,8,100,NA,NA,NA,NA,NA
10,7,8,120,NA,NA,NA,NA,NA
10,7,8,1k,NA,NA,NA,NA,NA
10,7,8,10k,NA,NA,NA,NA,NA
10,7,8,100k,NA,NA,NA,NA,NA
10,8,8,100,NA,NA,NA,NA,NA
10,8,8,120,NA,NA,NA,NA,NA
10,8,8,1k,NA,NA,NA,NA,NA
10,8,8,10k,NA,NA,NA,NA,NA
10,8,8,100k,NA,NA,NA,NA,NA
10,P,8,100,NA,NA,NA,NA,NA
10,P,8,120,NA,NA,NA,NA,NA
10,P,8,1k,NA,NA,NA,NA,NA
10,P,8,10k,NA,NA,NA,NA,NA
10,P,8,100k,NA,NA,NA,NA,NA
10,N,8,100,0,0,0,0,NA
10,N,8,120,0,0,0,0,NA
10,N,8,1k,20.43333333,13.33333333,7.1,34.74714519,-34.74714519
10,N,8,10k,1.046666667,0.826666667,0.22,21.01910828,-21.01910828
10,N,8,100k,0.117666667,0.084,0.033666667,28.61189802,-28.61189802
