Bag ID,Depth,Section,Sample ID,Replicate,Time Retrieved,Thickness (mm),Size for weight (cm^2),Pre Weight (g),Pre Resistance 100Hz (M ohm),Pre Resistance 120Hz (M ohm),Pre Resistance 1k Hz (M ohm),Pre Resistance 10k Hz (M ohm),Pre Resistance 100k Hz (M ohm),Post Weight (g),Post Resistance 100Hz (M ohm),Post Resistance 120Hz (M ohm),Post Resistance 1k Hz (M ohm),Post Resistance 10k Hz (M ohm),Post Resistance 100k Hz (M ohm)
1,10,Q2,5,12,,,,,,,,,,,,,,,
1,10,Q3,8,1,,,,,,,,,,,,,,,
1,10,Q1,B,14,,,,,,,,,,,,,,,
1,10,Q4,D,6,,,,,,,,,,,,,,,
2,0,Q3,7,4,,,,,,,,,,,,,,,
2,0,Q1,C,12,,,,,,,,,,,,,,,
2,0,Q4,N,2,,,,,,,,,,,,,,,
2,0,Q2,NA,NA,,,,,,,,,,,,,,,
3,10,Q1,2,7,,,,,,,,,,,,,,,
3,10,Q4,6,2,,,,,,,,,,,,,,,
3,10,Q2,A,13,,,,,,,,,,,,,,,
3,10,Q3,C,7,,,,,,,,,,,,,,,
4,0,Q4,5,14,,,,,,,,,,,,,,,
4,0,Q3,A,10,,,,,,,,,,,,,,,
4,0,Q1,B,13,,,,,,,,,,,,,,,
4,0,Q2,C,11,,,,,,,,,,,,,,,
5,10,Q4,6,3,,,,,,,,,,,,,,,
5,10,Q1,7,5,,,,,,,,,,,,,,,
5,10,Q3,B,10,,,,,,,,,,,,,,,
5,10,Q2,P,14,,,,,,,,,,,,,,,
6,0,Q3,3,6,,,,,,,,,,,,,,,
6,0,Q2,8,2,,,,,,,,,,,,,,,
6,0,Q1,N,18,,,,,,,,,,,,,,,
6,0,Q4,P,18,,,,,,,,,,,,,,,
7,0,Q3,1,6,,,,,,,,,,,,,,,
7,0,Q4,7,1,,,,,,,,,,,,,,,
7,0,Q1,D,2,,,,,,,,,,,,,,,
7,0,Q2,P,15,,,,,,,,,,,,,,,
8,10,Q2,3,1,,,,,,,,,,,,,,,
8,10,Q4,4,10,,,,,,,,,,,,,,,
8,10,Q3,8,5,,,,,,,,,,,,,,,
8,10,Q1,P,13,,,,,,,,,,,,,,,
9,0,Q4,2,4,,,,,,,,,,,,,,,
9,0,Q3,3,5,,,,,,,,,,,,,,,
9,0,Q1,6,1,,,,,,,,,,,,,,,
9,0,Q2,C,8,,,,,,,,,,,,,,,
10,10,Q1,2,3,,,,,,,,,,,,,,,
10,10,Q2,4,12,,,,,,,,,,,,,,,
10,10,Q4,B,11,,,,,,,,,,,,,,,
10,10,Q3,P,17,,,,,,,,,,,,,,,
11,10,Q2,5,13,,,,,,,,,,,,,,,
11,10,Q4,C,9,,,,,,,,,,,,,,,
11,10,Q3,D,5,,,,,,,,,,,,,,,
11,10,Q1,N,15,,,,,,,,,,,,,,,
12,0,Q3,4,11,,,,,,,,,,,,,,,
12,0,Q4,5,11,,,,,,,,,,,,,,,
12,0,Q1,A,14,,,,,,,,,,,,,,,
12,0,Q2,NA,NA,,,,,,,,,,,,,,,
13,10,Q2,1,1,,,,,,,,,,,,,,,
13,10,Q3,A,11,,,,,,,,,,,,,,,
13,10,Q4,N,1,,,,,,,,,,,,,,,
13,10,Q1,NA,NA,,,,,,,,,,,,,,,
14,0,Q3,1,5,,,,,,,,,,,,,,,
14,0,Q1,4,13,,,,,,,,,,,,,,,
14,0,Q2,6,6,,,,,,,,,,,,,,,
14,0,Q4,7,2,,,,,,,,,,,,,,,
15,0,Q3,2,5,,,,,,,,,,,,,,,
15,0,Q1,8,6,,,,,,,,,,,,,,,
15,0,Q2,D,3,,,,,,,,,,,,,,,
15,0,Q4,P,16,,,,,,,,,,,,,,,
16,10,Q2,1,2,,,,,,,,,,,,,,,
16,10,Q1,3,3,,,,,,,,,,,,,,,
16,10,Q3,6,4,,,,,,,,,,,,,,,
16,10,Q4,8,3,,,,,,,,,,,,,,,
17,10,Q1,1,3,,,,,,,,,,,,,,,
17,10,Q2,7,3,,,,,,,,,,,,,,,
17,10,Q4,A,12,,,,,,,,,,,,,,,
17,10,Q3,N,16,,,,,,,,,,,,,,,
18,0,Q3,1,4,,,,,,,,,,,,,,,
18,0,Q1,6,5,,,,,,,,,,,,,,,
18,0,Q2,A,13,,,,,,,,,,,,,,,
18,0,Q4,B,12,,,,,,,,,,,,,,,
19,10,Q2,4,14,,,,,,,,,,,,,,,
19,10,Q1,7,6,,,,,,,,,,,,,,,
19,10,Q3,C,10,,,,,,,,,,,,,,,
19,10,Q4,D,4,,,,,,,,,,,,,,,
20,0,Q4,2,6,,,,,,,,,,,,,,,
20,0,Q3,3,4,,,,,,,,,,,,,,,
20,0,Q1,4,15,,,,,,,,,,,,,,,
20,0,Q2,N,17,,,,,,,,,,,,,,,
21,0,Q3,5,15,,,,,,,,,,,,,,,
21,0,Q2,8,7,,,,,,,,,,,,,,,
21,0,Q1,B,15,,,,,,,,,,,,,,,
21,0,Q4,D,1,,,,,,,,,,,,,,,
22,10,Q1,2,8,,,,,,,,,,,,,,,
22,10,Q4,3,2,,,,,,,,,,,,,,,
22,10,Q3,5,10,,,,,,,,,,,,,,,
22,10,Q2,NA,NA,,,,,,,,,,,,,,,
23,0,Q2,7,9,,,,,,,,,,,,,,,
23,0,Q3,8,8,,,,,,,,,,,,,,,
23,0,Q1,C,6,,,,,,,,,,,,,,,
23,0,Q4,D,15,,,,,,,,,,,,,,,
24,0,Q1,4,9,,,,,,,,,,,,,,,
24,0,Q4,5,7,,,,,,,,,,,,,,,
24,0,Q2,6,16,,,,,,,,,,,,,,,
24,0,Q3,B,19,,,,,,,,,,,,,,,
25,0,Q2,2,18,,,,,,,,,,,,,,,
25,0,Q1,3,16,,,,,,,,,,,,,,,
25,0,Q4,N,3,,,,,,,,,,,,,,,
25,0,Q3,P,12,,,,,,,,,,,,,,,
26,0,Q2,4,8,,,,,,,,,,,,,,,
26,0,Q1,6,14,,,,,,,,,,,,,,,
26,0,Q4,7,7,,,,,,,,,,,,,,,
26,0,Q3,D,14,,,,,,,,,,,,,,,
27,0,Q3,1,7,,,,,,,,,,,,,,,
27,0,Q1,2,1,,,,,,,,,,,,,,,
27,0,Q2,3,17,,,,,,,,,,,,,,,
27,0,Q4,A,9,,,,,,,,,,,,,,,
28,0,Q4,1,14,,,,,,,,,,,,,,,
28,0,Q1,5,8,,,,,,,,,,,,,,,
28,0,Q3,B,2,,,,,,,,,,,,,,,
28,0,Q2,N,4,,,,,,,,,,,,,,,
29,0,Q2,3,18,,,,,,,,,,,,,,,
29,0,Q3,8,9,,,,,,,,,,,,,,,
29,0,Q4,A,8,,,,,,,,,,,,,,,
29,0,Q1,C,5,,,,,,,,,,,,,,,
30,0,Q2,1,17,,,,,,,,,,,,,,,
30,0,Q3,2,2,,,,,,,,,,,,,,,
30,0,Q4,A,7,,,,,,,,,,,,,,,
30,0,Q1,P,11,,,,,,,,,,,,,,,
31,0,Q3,4,7,,,,,,,,,,,,,,,
31,0,Q1,6,13,,,,,,,,,,,,,,,
31,0,Q4,7,8,,,,,,,,,,,,,,,
31,0,Q2,D,13,,,,,,,,,,,,,,,
32,0,Q3,5,9,,,,,,,,,,,,,,,
32,0,Q1,8,10,,,,,,,,,,,,,,,
32,0,Q4,B,1,,,,,,,,,,,,,,,
32,0,Q2,NA,NA,,,,,,,,,,,,,,,
33,0,Q1,C,4,,,,,,,,,,,,,,,
33,0,Q3,N,5,,,,,,,,,,,,,,,
33,0,Q2,NA,NA,,,,,,,,,,,,,,,
33,0,Q4,P,10,,,,,,,,,,,,,,,
34,10,Q1,1,11,,,,,,,,,,,,,,,
34,10,Q2,2,17,,,,,,,,,,,,,,,
34,10,Q4,4,4,,,,,,,,,,,,,,,
34,10,Q3,N,6,,,,,,,,,,,,,,,
35,10,Q4,7,11,,,,,,,,,,,,,,,
35,10,Q2,8,14,,,,,,,,,,,,,,,
35,10,Q1,C,3,,,,,,,,,,,,,,,
35,10,Q3,D,12,,,,,,,,,,,,,,,
36,10,Q1,5,4,,,,,,,,,,,,,,,
36,10,Q2,6,7,,,,,,,,,,,,,,,
36,10,Q4,B,5,,,,,,,,,,,,,,,
36,10,Q3,P,9,,,,,,,,,,,,,,,
37,10,Q4,3,7,,,,,,,,,,,,,,,
37,10,Q1,7,12,,,,,,,,,,,,,,,
37,10,Q2,A,6,,,,,,,,,,,,,,,
37,10,Q3,B,4,,,,,,,,,,,,,,,
38,10,Q1,1,12,,,,,,,,,,,,,,,
38,10,Q4,6,18,,,,,,,,,,,,,,,
38,10,Q2,C,2,,,,,,,,,,,,,,,
38,10,Q3,P,8,,,,,,,,,,,,,,,
39,10,Q4,4,5,,,,,,,,,,,,,,,
39,10,Q1,8,11,,,,,,,,,,,,,,,
39,10,Q2,D,11,,,,,,,,,,,,,,,
39,10,Q3,N,7,,,,,,,,,,,,,,,
40,10,Q3,2,16,,,,,,,,,,,,,,,
40,10,Q4,3,8,,,,,,,,,,,,,,,
40,10,Q1,5,6,,,,,,,,,,,,,,,
40,10,Q2,A,5,,,,,,,,,,,,,,,
41,10,Q4,6,10,,,,,,,,,,,,,,,
41,10,Q3,8,12,,,,,,,,,,,,,,,
41,10,Q2,C,1,,,,,,,,,,,,,,,
41,10,Q1,P,7,,,,,,,,,,,,,,,
42,10,Q1,1,13,,,,,,,,,,,,,,,
42,10,Q3,2,15,,,,,,,,,,,,,,,
42,10,Q2,3,9,,,,,,,,,,,,,,,
42,10,Q4,N,8,,,,,,,,,,,,,,,
43,10,Q3,4,6,,,,,,,,,,,,,,,
43,10,Q4,7,10,,,,,,,,,,,,,,,
43,10,Q1,A,4,,,,,,,,,,,,,,,
43,10,Q2,NA,NA,,,,,,,,,,,,,,,
44,10,Q1,5,5,,,,,,,,,,,,,,,
44,10,Q4,B,3,,,,,,,,,,,,,,,
44,10,Q3,D,10,,,,,,,,,,,,,,,
44,10,Q2,NA,NA,,,,,,,,,,,,,,,
NA,NA,NA,1,10,0,0.8,42,0.44,0,130,94.6,4.02,0.14,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,16,0,0.8,49,0.486,0,0,142.2,9.4,0.33,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,9,0,0.8,42,0.406,0,155,110.2,3.3,0.16,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,3,0,0.38,88,1.897,2.8,2.7,2.3,2.8,0,0.601,0,0,96.3,3.16,0.16
NA,NA,NA,5,2,0,0.12,88,1.503,2.6,2.6,2.5,2.8,0,NA,0,0,77.7,3.66,0.21
NA,NA,NA,5,1,0,0.12,80,1.276,3.1,3.2,3.3,2.8,2.9,NA,0,0,127.4,4.56,0.15
NA,NA,NA,7,18,0,0.18,80,1.088,0,0,66.7,1.7,0.06,0.767,0,0,24.2,1.21,0.15
NA,NA,NA,7,14,0,0.18,80,1.288,0,0,27.8,1.89,0.15,0.926,0,0,37.3,1.25,0.16
NA,NA,NA,7,13,0,0.18,84,1.761,0,0,15.7,3.27,0.37,1.248,0,0,21.5,1.10,0.11
NA,NA,NA,8,16,0,0.04,89.25,0.621,2.8,3.4,2.4,2.4,1.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,13,0,0.17,80,0.284,9.8,9.3,8.3,8.6,1.03,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,17,0,0.04,55,0.305,7.4,4.9,3.2,2.9,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,10,0,0.12,80,1.216,0,0,14.4,1.12,0.13,1.21,0,0,18.8,1.20,0.15
NA,NA,NA,2,12,0,0.12,80,1.135,0,0,13.7,1.2,0.12,1.137,0,0,19.7,2.89,0.28
NA,NA,NA,2,11,0,0.12,80,1.134,0,0,19.5,1.55,0.16,1.131,0,0,51.8,3.05,0.31
NA,NA,NA,3,12,0,0.06,80,0.471,0,0,107.3,5.46,0.26,NA,NA,NA,NA,NA,NA
NA,NA,NA,3,11,0,0.07,80,0.414,0,0,90.3,4.69,0.21,NA,NA,NA,NA,NA,NA
NA,NA,NA,3,10,0,0.06,80,0.429,125,120.1,66.2,3.5,1.1,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,2,0,0.08,60,0.61,41,38.2,37.7,9.51,0.33,0.457,0,0,53.0,2.00,0.17
NA,NA,NA,4,1,0,0.08,60,0.565,47.9,45.5,32.7,14.3,0.53,0.411,0,0,45.6,1.65,0.13
NA,NA,NA,4,3,0,0.08,60,0.496,47.3,42.4,38.3,9.9,0.21,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,11,0,0.16,55,0.939,0.39,0.4,0.33,0.2,0.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,9,0,0.16,55,1.051,0.4,0.43,0.23,0.17,0.17,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,8,0,0.16,55,0.96,0.68,0.4,0.24,0.2,0.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,A,1,0,0.1,60,0.587,0,0,21.3,1.4,0.14,0.583,0,0,21.3,1.18,0.12
NA,NA,NA,A,2,0,0.1,84,0.788,0,0,21.5,1.58,0.15,0.794,0,0,21.3,1.17,0.11
NA,NA,NA,A,3,0,0.1,80,0.794,0,0,20.1,1.7,0.17,0.797,0,0,20.6,1.11,0.11
NA,NA,NA,C,14,0,0.02,80,0.421,0,0,12.8,0.9,0.09,0.422,0,0,13.8,0.75,0.08
NA,NA,NA,C,13,0,0.02,80,0.423,0,0,9.3,0.95,0.09,0.418,0,0,15.4,0.85,0.09
NA,NA,NA,C,15,0,0.02,80,0.423,0,0,9.7,0.65,0.06,0.423,0,0,16.1,0.83,0.09
NA,NA,NA,B,6,0,0.06,80,0.113,0,0,33.6,2.8,0.2,0.113,0,0,34.4,1.86,0.18
NA,NA,NA,B,7,0,0.06,80,0.118,0,0,10.3,0.85,0.09,0.118,0,0,36.8,1.77,0.17
NA,NA,NA,B,8,0,0.06,80,0.118,0,0,18.3,1.3,0.13,0.117,0,0,34.4,1.90,0.17
NA,NA,NA,D,7,0,0.08,80,0.492,0,0,19.4,1.7,0.15,0.492,0,0,27.2,1.40,0.12
NA,NA,NA,D,9,0,0.08,80,0.518,0,0,17.1,1.36,0.16,0.52,0,0,24.5,1.72,0.16
NA,NA,NA,D,8,0,0.08,80,0.484,0,0,23.6,2.28,0.16,0.486,0,0,45.7,2.26,0.19
NA,NA,NA,N,11,0,0.1,80,0.76,0,0,19.2,1.9,0.2,0.76,0,0,40.4,1.98,0.19
NA,NA,NA,N,10,0,0.1,80,0.716,0,0,28,1.87,0.18,0.714,0,0,31.0,1.72,0.17
NA,NA,NA,N,9,0,0.1,80,0.787,0,0,23.4,2.08,0.18,0.785,0,0,35.5,1.61,0.17
NA,NA,NA,P,3,0,0.1,80,0.477,0,0,20.6,1.15,0.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,P,2,0,0.1,80,0.473,0,0,23.4,1.4,0.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,P,1,0,0.1,80,0.491,0,0,15.1,1.5,0.2,NA,NA,NA,NA,NA,NA
